time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.164516497452930E+005	3.4371192E+000	1.187992178731494E-007	0.000000000000000E+000	1.187992178731494E-007	1.187992178731494E-007	2.1400000E-001	116	3.164516497452930E+005	0.000000000000000E+000	8.999999444331617E-001	0.000000000000000E+000	1.187992178731494E-007
3.164517197453000E+005	3.4421220E+000	4.276684365338749E-006	0.000000000000000E+000	4.157885147465600E-006	4.276684365338750E-006	2.1400000E-001	116	3.164517197453000E+005	2.138340717617432E-001	8.999988340822074E-001	0.000000000000000E+000	4.276684365338749E-006
3.164520717453370E+005	3.4471245E+000	2.518675932453738E-005	0.000000000000000E+000	2.091007495919863E-005	2.518675932453738E-005	2.1400000E-001	116	3.164520717453370E+005	2.138530168915366E-001	8.999932501084177E-001	0.000000000000000E+000	2.518675932453738E-005
3.164525957453914E+005	3.4521272E+000	5.631414744589064E-005	0.000000000000000E+000	3.112738812135326E-005	5.631414744589064E-005	2.1400000E-001	116	3.164525957453914E+005	2.138522625779996E-001	8.999849376313103E-001	0.000000000000000E+000	5.631414744589064E-005
3.164531997454548E+005	3.4571300E+000	9.219341681235366E-005	0.000000000000000E+000	3.587926936646303E-005	9.219341681235366E-005	2.1400000E-001	116	3.164531997454548E+005	2.138499274261756E-001	8.999753561783442E-001	0.000000000000000E+000	9.219341681235366E-005
3.164538337455206E+005	3.4621327E+000	1.298553860104746E-004	0.000000000000000E+000	3.766196919812097E-005	1.298553860104746E-004	2.1400000E-001	116	3.164538337455206E+005	2.138534306865383E-001	8.999652986606509E-001	0.000000000000000E+000	1.298553860104746E-004
3.164545297455932E+005	3.4671354E+000	1.712012913988696E-004	0.000000000000000E+000	4.134590538839499E-005	1.712012913988696E-004	2.1400000E-001	116	3.164545297455932E+005	2.138581089995541E-001	8.999542573586731E-001	0.000000000000000E+000	1.712012913988696E-004
3.164552317456668E+005	3.4721775E+000	2.129031018995576E-004	0.000000000000000E+000	4.170181050068802E-005	2.129031018995576E-004	2.1400000E-001	116	3.164552317456668E+005	2.138554160367783E-001	8.999431210132858E-001	0.000000000000000E+000	2.129031018995576E-004
3.164559717457434E+005	3.4771800E+000	2.568624807480309E-004	0.000000000000000E+000	4.395937884847323E-005	2.568624807480309E-004	2.1400000E-001	116	3.164559717457434E+005	2.138564155065132E-001	8.999313817909357E-001	0.000000000000000E+000	2.568624807480309E-004
3.164567197458216E+005	3.4821827E+000	3.012970674037933E-004	0.000000000000000E+000	4.443458665576246E-005	3.012970674037933E-004	2.1400000E-001	116	3.164567197458216E+005	2.138562770733277E-001	8.999195156657435E-001	0.000000000000000E+000	3.012970674037933E-004
