time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
4.967499345518665E+005	3.8368077E+000	2.318490379386478E-007	0.000000000000000E+000	2.318490379386478E-007	2.318490379386478E-007	4.1760001E-001	116	4.967499345518665E+005	0.000000000000000E+000	8.999999131143338E-001	0.000000000000000E+000	2.318490379386478E-007
4.967499485518681E+005	3.8422043E+000	1.855054961310493E-006	0.000000000000000E+000	1.623205923371845E-006	1.855054961310493E-006	4.1760001E-001	116	4.967499485518681E+005	4.173957612753756E-001	8.999994717362546E-001	0.000000000000000E+000	1.855054961310493E-006
4.967499785518711E+005	3.8474829E+000	5.333425286743376E-006	0.000000000000000E+000	3.478370325432883E-006	5.333425286743376E-006	4.1760001E-001	116	4.967499785518711E+005	4.174043965499096E-001	8.999985259065290E-001	0.000000000000000E+000	5.333425286743376E-006
4.967500305518764E+005	3.8526039E+000	1.136311999625630E-005	0.000000000000000E+000	6.029694709512923E-006	1.136311999625630E-005	4.1760001E-001	116	4.967500305518764E+005	4.174403607097935E-001	8.999968863270824E-001	0.000000000000000E+000	1.136311999625630E-005
4.967501065518847E+005	3.8576066E+000	2.017595529556274E-005	0.000000000000000E+000	8.812835299306446E-006	2.017595529556274E-005	4.1760001E-001	116	4.967501065518847E+005	4.174500477195544E-001	8.999944899630346E-001	0.000000000000000E+000	2.017595529556274E-005
4.967502105518952E+005	3.8626883E+000	3.223566209276517E-005	0.000000000000000E+000	1.205970679720243E-005	3.223566209276517E-005	4.1760001E-001	116	4.967502105518952E+005	4.174513468763323E-001	8.999912107178409E-001	0.000000000000000E+000	3.223566209276517E-005
4.967503485519094E+005	3.8677697E+000	4.823821432060665E-005	0.000000000000000E+000	1.600255222784148E-005	4.823821432060665E-005	4.1760001E-001	116	4.967503485519094E+005	4.174578411336213E-001	8.999868593440172E-001	0.000000000000000E+000	4.823821432060665E-005
4.967505365519291E+005	3.8728120E+000	7.003879826929834E-005	0.000000000000000E+000	2.180058394869169E-005	7.003879826929834E-005	4.1760001E-001	116	4.967505365519291E+005	4.174579468964283E-001	8.999809313839654E-001	0.000000000000000E+000	7.003879826929834E-005
4.967508085519578E+005	3.8778148E+000	1.015805876917309E-004	0.000000000000000E+000	3.154178942243258E-005	1.015805876917309E-004	4.1760001E-001	116	4.967508085519578E+005	4.174648158746190E-001	8.999723546197786E-001	0.000000000000000E+000	1.015805876917309E-004
4.967512205520005E+005	3.8828175E+000	1.493563515610165E-004	0.000000000000000E+000	4.777576386928558E-005	1.493563515610165E-004	4.1760001E-001	116	4.967512205520005E+005	4.174580877128767E-001	8.999593635540194E-001	0.000000000000000E+000	1.493563515610165E-004
4.967518965520710E+005	3.8879385E+000	2.277466838061810E-004	0.000000000000000E+000	7.839033224516445E-005	2.277466838061809E-004	4.1760001E-001	116	4.967518965520710E+005	4.174632642616216E-001	8.999380478516924E-001	0.000000000000000E+000	2.277466838061810E-004
4.967529885521848E+005	3.8929806E+000	3.543782181044420E-004	0.000000000000000E+000	1.266315342982610E-004	3.543782181044420E-004	4.1760001E-001	116	4.967529885521848E+005	4.174665530823953E-001	8.999036145228240E-001	0.000000000000000E+000	3.543782181044420E-004
4.967545925523522E+005	3.8979836E+000	5.403833198216227E-004	0.000000000000000E+000	1.860051017171807E-004	5.403833198216226E-004	4.1760001E-001	116	4.967545925523522E+005	4.174677657572113E-001	8.998530364825740E-001	0.000000000000000E+000	5.403833198216227E-004
4.967567385525759E+005	3.9029863E+000	7.892392539315754E-004	0.000000000000000E+000	2.488559341099527E-004	7.892392539315754E-004	4.1760001E-001	116	4.967567385525759E+005	4.174656427813530E-001	8.997853682017815E-001	0.000000000000000E+000	7.892392539315754E-004
4.967595165528655E+005	3.9079890E+000	1.111382849630382E-003	0.000000000000000E+000	3.221435956988070E-004	1.111382849630382E-003	4.1760001E-001	116	4.967595165528655E+005	4.174646593335792E-001	8.996977717240553E-001	0.000000000000000E+000	1.111382849630382E-003
4.967629745532265E+005	3.9129918E+000	1.512382478415966E-003	0.000000000000000E+000	4.009996287855837E-004	1.512382478415966E-003	4.1760001E-001	116	4.967629745532265E+005	4.174663137442851E-001	8.995887329117985E-001	0.000000000000000E+000	1.512382478415966E-003
4.967672265536701E+005	3.9179947E+000	2.005456260525518E-003	0.000000000000000E+000	4.930737821095519E-004	2.005456260525518E-003	4.1760001E-001	116	4.967672265536701E+005	4.174659996215589E-001	8.994546575269435E-001	0.000000000000000E+000	2.005456260525518E-003
4.967725165542215E+005	3.9229975E+000	2.618898501015372E-003	0.000000000000000E+000	6.134422404898538E-004	2.618898501015372E-003	4.1760001E-001	116	4.967725165542215E+005	4.174653753461861E-001	8.992878518530988E-001	0.000000000000000E+000	2.618898501015372E-003
4.967786885548655E+005	3.9280002E+000	3.334621560374896E-003	0.000000000000000E+000	7.157230593595239E-004	3.334621560374896E-003	4.1760001E-001	116	4.967786885548655E+005	4.174664200961385E-001	8.990932342357866E-001	0.000000000000000E+000	3.334621560374896E-003
4.967860325556316E+005	3.9330029E+000	4.186254208634297E-003	0.000000000000000E+000	8.516326482594013E-004	4.186254208634297E-003	4.1760001E-001	116	4.967860325556316E+005	4.174669408948407E-001	8.988616604242934E-001	0.000000000000000E+000	4.186254208634297E-003
4.967944105565054E+005	3.9380057E+000	5.157789636320537E-003	0.000000000000000E+000	9.715354276862410E-004	5.157789636320538E-003	4.1760001E-001	116	4.967944105565054E+005	4.174656451268207E-001	8.985974829500623E-001	0.000000000000000E+000	5.157789636320537E-003
4.968047305575823E+005	3.9430480E+000	6.354529145856698E-003	0.000000000000000E+000	1.196739509536160E-003	6.354529145856699E-003	4.1760001E-001	116	4.968047305575823E+005	4.174672272051193E-001	8.982720685473216E-001	0.000000000000000E+000	6.354529145856698E-003
4.968164285588022E+005	3.9480507E+000	7.711068194657563E-003	0.000000000000000E+000	1.356539048800866E-003	7.711068194657564E-003	4.1760001E-001	116	4.968164285588022E+005	4.174679489158590E-001	8.979032018550779E-001	0.000000000000000E+000	7.711068194657563E-003
4.968298145601985E+005	3.9530535E+000	9.263352795508172E-003	0.000000000000000E+000	1.552284600850609E-003	9.263352795508172E-003	4.1760001E-001	116	4.968298145601985E+005	4.174678007009481E-001	8.974811085237855E-001	0.000000000000000E+000	9.263352795508172E-003
4.968453305618167E+005	3.9580564E+000	1.106263524399863E-002	0.000000000000000E+000	1.799282448490461E-003	1.106263524399863E-002	4.1760001E-001	116	4.968453305618167E+005	4.174668818642931E-001	8.969918521579083E-001	0.000000000000000E+000	1.106263524399863E-002
4.968642345637884E+005	3.9630592E+000	1.325479434217016E-002	0.000000000000000E+000	2.192159098171526E-003	1.325479434217016E-002	4.1760001E-001	116	4.968642345637884E+005	4.174657178532331E-001	8.963957657598579E-001	0.000000000000000E+000	1.325479434217016E-002
4.968836545658144E+005	3.9680619E+000	1.550679007108013E-002	0.000000000000000E+000	2.251995728909969E-003	1.550679007108013E-002	4.1760001E-001	116	4.968836545658144E+005	4.174656940413481E-001	8.957834087354108E-001	0.000000000000000E+000	1.550679007108013E-002
4.969036545679006E+005	3.9724739E+000	1.782604220186670E-002	0.000000000000000E+000	2.319252130786578E-003	1.782604220186671E-002	4.1760001E-001	116	4.969036545679006E+005	4.174653399965557E-001	8.951527635190283E-001	0.000000000000000E+000	1.782604220186670E-002
4.969236545699867E+005	3.9762554E+000	2.014529850234588E-002	0.000000000000000E+000	2.319256300479174E-003	2.014529850234588E-002	4.1760001E-001	116	4.969236545699867E+005	4.174660905411447E-001	8.945221171688335E-001	0.000000000000000E+000	2.014529850234588E-002
4.969436545720729E+005	3.9803128E+000	2.246455009687278E-002	0.000000000000000E+000	2.319251594526900E-003	2.246455009687278E-002	4.1760001E-001	116	4.969436545720729E+005	4.174652434698238E-001	8.938914720982692E-001	0.000000000000000E+000	2.246455009687278E-002
4.969636545741591E+005	3.9840944E+000	2.478381235092878E-002	0.000000000000000E+000	2.319262254056004E-003	2.478381235092878E-002	4.1760001E-001	116	4.969636545741591E+005	4.174671621848623E-001	8.932608241291927E-001	0.000000000000000E+000	2.478381235092878E-002
4.969836545762452E+005	3.9876003E+000	2.710308810997341E-002	0.000000000000000E+000	2.319275759044621E-003	2.710308810997340E-002	4.1760001E-001	116	4.969836545762452E+005	4.174695930825598E-001	8.926301724878737E-001	0.000000000000000E+000	2.710308810997341E-002
4.970036545783314E+005	3.9911456E+000	2.942234732157654E-002	0.000000000000000E+000	2.319259211603138E-003	2.942234732157654E-002	4.1760001E-001	116	4.970036545783314E+005	4.174666145434037E-001	8.919995253460933E-001	0.000000000000000E+000	2.942234732157654E-002
4.970236545804176E+005	3.9942970E+000	3.174160965224107E-002	0.000000000000000E+000	2.319262330664529E-003	3.174160965224107E-002	4.1760001E-001	116	4.970236545804176E+005	4.174671759743954E-001	8.913688773561855E-001	0.000000000000000E+000	3.174160965224107E-002
4.970436545825037E+005	3.9974878E+000	3.406086958615316E-002	0.000000000000000E+000	2.319259933912092E-003	3.406086958615316E-002	4.1760001E-001	116	4.970436545825037E+005	4.174667445590018E-001	8.907382300179967E-001	0.000000000000000E+000	3.406086958615316E-002
4.970636545845899E+005	4.0004816E+000	3.638013487171796E-002	0.000000000000000E+000	2.319265285564794E-003	3.638013487171796E-002	4.1760001E-001	116	4.970636545845899E+005	4.174677078563876E-001	8.901075812245999E-001	0.000000000000000E+000	3.638013487171796E-002
4.970836545866760E+005	4.0035148E+000	3.869940774152676E-002	0.000000000000000E+000	2.319272869808806E-003	3.869940774152676E-002	4.1760001E-001	116	4.970836545866760E+005	4.174690730201675E-001	8.894769303689145E-001	0.000000000000000E+000	3.869940774152676E-002
4.971036545887622E+005	4.0063510E+000	4.101867478908764E-002	0.000000000000000E+000	2.319267047560877E-003	4.101867478908764E-002	4.1760001E-001	116	4.971036545887622E+005	4.174680250156496E-001	8.888462810964002E-001	0.000000000000000E+000	4.101867478908764E-002
4.971236545908484E+005	4.0092263E+000	4.333793052047491E-002	0.000000000000000E+000	2.319255731387271E-003	4.333793052047491E-002	4.1760001E-001	116	4.971236545908484E+005	4.174659881046129E-001	8.882156349009513E-001	0.000000000000000E+000	4.333793052047491E-002
4.971436545929345E+005	4.0117869E+000	4.565715830069449E-002	0.000000000000000E+000	2.319227780219581E-003	4.565715830069449E-002	4.1760001E-001	116	4.971436545929345E+005	4.174609568949536E-001	8.875849963059139E-001	0.000000000000000E+000	4.565715830069449E-002
4.971636545950207E+005	4.0144262E+000	4.797638872938024E-002	0.000000000000000E+000	2.319230428685745E-003	4.797638872938024E-002	4.1760001E-001	116	4.971636545950207E+005	4.174614336188133E-001	8.869543569907121E-001	0.000000000000000E+000	4.797638872938024E-002
4.971836545971069E+005	4.0170655E+000	5.029562251789702E-002	0.000000000000000E+000	2.319233788516787E-003	5.029562251789702E-002	4.1760001E-001	116	4.971836545971069E+005	4.174620383883377E-001	8.863237167619136E-001	0.000000000000000E+000	5.029562251789702E-002
4.972036545991930E+005	4.0197048E+000	5.261484306408299E-002	0.000000000000000E+000	2.319220546185970E-003	5.261484306408299E-002	4.1760001E-001	116	4.972036545991930E+005	4.174596547690395E-001	8.856930801339363E-001	0.000000000000000E+000	5.261484306408299E-002
4.972236546012792E+005	4.0221863E+000	5.493405917791856E-002	0.000000000000000E+000	2.319216113835573E-003	5.493405917791857E-002	4.1760001E-001	116	4.972236546012792E+005	4.174588569460511E-001	8.850624447111927E-001	0.000000000000000E+000	5.493405917791856E-002
4.972436546033653E+005	4.0245895E+000	5.725328575428989E-002	0.000000000000000E+000	2.319226576371325E-003	5.725328575428990E-002	4.1760001E-001	116	4.972436546033653E+005	4.174607402022901E-001	8.844318064435026E-001	0.000000000000000E+000	5.725328575428989E-002
4.972636546054515E+005	4.0269923E+000	5.957250579704840E-002	0.000000000000000E+000	2.319220042758518E-003	5.957250579704841E-002	4.1760001E-001	116	4.972636546054515E+005	4.174595641521074E-001	8.838011699524161E-001	0.000000000000000E+000	5.957250579704840E-002
4.972836546075377E+005	4.0293951E+000	6.189172925435834E-002	0.000000000000000E+000	2.319223457309935E-003	6.189172925435835E-002	4.1760001E-001	116	4.972836546075377E+005	4.174601787712983E-001	8.831705325328533E-001	0.000000000000000E+000	6.189172925435834E-002
4.973036546096238E+005	4.0318770E+000	6.421095468160179E-002	0.000000000000000E+000	2.319225427243444E-003	6.421095468160179E-002	4.1760001E-001	116	4.973036546096238E+005	4.174605333592931E-001	8.825398945776312E-001	0.000000000000000E+000	6.421095468160179E-002
4.973236546117100E+005	4.0342798E+000	6.653018923620382E-002	0.000000000000000E+000	2.319234554602040E-003	6.653018923620382E-002	4.1760001E-001	116	4.973236546117100E+005	4.174621762836690E-001	8.819092541405207E-001	0.000000000000000E+000	6.653018923620382E-002
