time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.587616041585645E+005	3.7956975E+000	1.131396989027659E-007	0.000000000000000E+000	1.131396989027659E-007	1.131396989027659E-007	2.0389999E-001	116	3.587616041585645E+005	0.000000000000000E+000	8.999999446592966E-001	0.000000000000000E+000	1.131396989027659E-007
3.587616261585664E+005	3.8007395E+000	1.357829645276070E-006	0.000000000000000E+000	1.244689946373304E-006	1.357829645276070E-006	2.0389999E-001	116	3.587616261585664E+005	2.036765183829460E-001	8.999995981293276E-001	0.000000000000000E+000	1.357829645276070E-006
3.587616961585740E+005	3.8058603E+000	5.318901365001996E-006	0.000000000000000E+000	3.961071719725926E-006	5.318901365001996E-006	2.0389999E-001	116	3.587616961585740E+005	2.037122379994052E-001	8.999984953405855E-001	0.000000000000000E+000	5.318901365001996E-006
3.587618221585872E+005	3.8109419E+000	1.244917640255557E-005	0.000000000000000E+000	7.130275037553575E-006	1.244917640255557E-005	2.0389999E-001	116	3.587618221585872E+005	2.037221225838575E-001	8.999965102245373E-001	0.000000000000000E+000	1.244917640255557E-005
3.587619941586051E+005	3.8159444E+000	2.218299997349580E-005	0.000000000000000E+000	9.733823570940230E-006	2.218299997349580E-005	2.0389999E-001	116	3.587619941586051E+005	2.037311697600371E-001	8.999938002632414E-001	0.000000000000000E+000	2.218299997349580E-005
3.587621981586264E+005	3.8209472E+000	3.372809872031212E-005	0.000000000000000E+000	1.154509874681632E-005	3.372809872031212E-005	2.0389999E-001	116	3.587621981586264E+005	2.037370154050097E-001	8.999905860308758E-001	0.000000000000000E+000	3.372809872031212E-005
3.587624461586522E+005	3.8259892E+000	4.776264299121167E-005	0.000000000000000E+000	1.403454427089956E-005	4.776264299121168E-005	2.0389999E-001	116	3.587624461586522E+005	2.037272343928378E-001	8.999866787203001E-001	0.000000000000000E+000	4.776264299121167E-005
3.587627381586824E+005	3.8309920E+000	6.428801216185092E-005	0.000000000000000E+000	1.652536917063925E-005	6.428801216185093E-005	2.0389999E-001	116	3.587627381586824E+005	2.037374070824427E-001	8.999820779474869E-001	0.000000000000000E+000	6.428801216185092E-005
3.587630861587189E+005	3.8359947E+000	8.398198251922925E-005	0.000000000000000E+000	1.969397035737832E-005	8.398198251922926E-005	2.0389999E-001	116	3.587630861587189E+005	2.037307064358778E-001	8.999765950150047E-001	0.000000000000000E+000	8.398198251922925E-005
3.587635141587639E+005	3.8410368E+000	1.082040258000294E-004	0.000000000000000E+000	2.422204328080018E-005	1.082040258000294E-004	2.0389999E-001	116	3.587635141587639E+005	2.037367912170563E-001	8.999698514368700E-001	0.000000000000000E+000	1.082040258000294E-004
