time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
0.000000000000000E+000	2.0367141E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
1.000000047497451E+000	2.0367141E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
2.000000094994903E+000	2.0366352E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
3.000000142492354E+000	2.0365565E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
4.000000189989805E+000	2.0365565E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
5.000000237487257E+000	2.0366352E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
6.000000284984708E+000	2.0365565E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
7.000000332482159E+000	2.0365565E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
8.000000379979610E+000	2.0364382E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
9.000000427477062E+000	2.0365171E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
1.009400047943927E+001	2.0508177E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.3639998E-001	117	0.000000000000000E+000	0.000000000000000E+000	8.999999761581421E-001	0.000000000000000E+000	0.000000000000000E+000
1.009600047953427E+001	2.0511723E+000	7.576098872555627E-008	0.000000000000000E+000	7.576098872555627E-008	7.576098872555627E-008	1.3639998E-001	117	1.009600047953427E+001	1.363697732287846E-001	8.999999412600066E-001	0.000000000000000E+000	7.576098872555627E-008
1.179600056027994E+001	2.1012838E+000	6.447721949881977E-005	0.000000000000000E+000	6.440145851009421E-005	6.447721949881978E-005	1.3639998E-001	117	1.179600056027994E+001	1.363795527201654E-001	8.999702757176280E-001	0.000000000000000E+000	6.447721949881977E-005
1.283400060958229E+001	2.1262212E+000	1.037241940117545E-004	0.000000000000000E+000	3.924697451293469E-005	1.037241940117545E-004	1.3639998E-001	117	1.283400060958229E+001	1.361166681461393E-001	8.999521972018214E-001	0.000000000000000E+000	1.037241940117545E-004
1.283600060967729E+001	2.1262212E+000	1.037241940117545E-004	0.000000000000000E+000	0.000000000000000E+000	1.037999582870139E-004	0.0000000E+000	117	0.000000000000000E+000	0.000000000000000E+000	8.999521623021721E-001	0.000000000000000E+000	1.037241940117545E-004
3.590400170534849E+001	2.0873377E+000	1.037241940117545E-004	0.000000000000000E+000	0.000000000000000E+000	1.059213579942783E-004	0.0000000E+000	115	0.000000000000000E+000	0.000000000000000E+000	8.999511851119908E-001	0.000000000000000E+000	1.037241940117545E-004
3.606400171294808E+001	2.1015594E+000	1.037999571859837E-004	0.000000000000000E+000	7.576317422919803E-008	1.059971211685075E-004	1.3639998E-001	117	3.606400171294808E+001	1.704671339189412E-003	8.999511502128487E-001	0.000000000000000E+000	1.037999571859837E-004
3.773400179226883E+001	2.1515920E+000	1.670644383711947E-004	0.000000000000000E+000	6.326448118521107E-005	1.692616023537186E-004	1.3639998E-001	117	3.773400179226883E+001	1.363785158377931E-001	8.999220084016059E-001	0.000000000000000E+000	1.670644383711947E-004
3.983400189201348E+001	2.2016246E+000	2.466188302718931E-004	0.000000000000000E+000	7.955439190069834E-005	2.488159942544169E-004	1.3639998E-001	117	3.983400189201348E+001	1.363789510664017E-001	8.998853628932753E-001	0.000000000000000E+000	2.466188302718931E-004
4.207000199821778E+001	2.2516572E+000	3.313255439698696E-004	0.000000000000000E+000	8.470671369797653E-005	3.335227079523934E-004	1.3639998E-001	117	4.207000199821778E+001	1.363793179018986E-001	8.998463440470706E-001	0.000000000000000E+000	3.313255439698696E-004
4.445200211135671E+001	2.3017688E+000	4.215631896009048E-004	0.000000000000000E+000	9.023764563103516E-005	4.237603535834286E-004	1.3639998E-001	117	4.445200211135671E+001	1.363793068186053E-001	8.998047774620500E-001	0.000000000000000E+000	4.215631896009048E-004
4.698800223181024E+001	2.3518014E+000	5.176351274963882E-004	0.000000000000000E+000	9.607193789548344E-005	5.198322914789120E-004	1.3639998E-001	117	4.698800223181024E+001	1.363797160868775E-001	8.997605233999376E-001	0.000000000000000E+000	5.176351274963882E-004
4.968000235967338E+001	2.4018734E+000	6.196165451076295E-004	0.000000000000000E+000	1.019814176112413E-004	6.218137090901534E-004	1.3639998E-001	117	4.968000235967338E+001	1.363793038493993E-001	8.997135472267893E-001	0.000000000000000E+000	6.196165451076295E-004
5.255400249618106E+001	2.4519453E+000	7.284930466198258E-004	0.000000000000000E+000	1.088765015121963E-004	7.306902106023497E-004	1.3639998E-001	117	5.255400249618106E+001	1.363797448945807E-001	8.996633949391801E-001	0.000000000000000E+000	7.284930466198258E-004
5.560200264095329E+001	2.5020175E+000	8.439606997122367E-004	0.000000000000000E+000	1.154676530924108E-004	8.461578636947605E-004	1.3639998E-001	117	5.560200264095329E+001	1.363791113480219E-001	8.996102065388641E-001	0.000000000000000E+000	8.439606997122367E-004
5.882000279380009E+001	2.5520895E+000	9.658688074847062E-004	0.000000000000000E+000	1.219081077724695E-004	9.680659714672301E-004	1.3639998E-001	117	5.882000279380009E+001	1.363794801540471E-001	8.995540514420529E-001	0.000000000000000E+000	9.658688074847062E-004
6.220800295472145E+001	2.6021614E+000	1.094217016225060E-003	0.000000000000000E+000	1.283482087403536E-004	1.096414180207584E-003	1.3639998E-001	117	6.220800295472145E+001	1.363794361035738E-001	8.994949298116786E-001	0.000000000000000E+000	1.094217016225060E-003
6.575000312295742E+001	2.6521940E+000	1.228399355196290E-003	0.000000000000000E+000	1.341823389712307E-004	1.230596519178814E-003	1.3639998E-001	117	6.575000312295742E+001	1.363795588234000E-001	8.994331207788506E-001	0.000000000000000E+000	1.228399355196290E-003
6.945800329907797E+001	2.7022266E+000	1.368870067505373E-003	0.000000000000000E+000	1.404707123090823E-004	1.371067231487897E-003	1.3639998E-001	117	6.945800329907797E+001	1.363793258612445E-001	8.993684151034613E-001	0.000000000000000E+000	1.368870067505373E-003
7.330600348184817E+001	2.7523775E+000	1.514644795515471E-003	0.000000000000000E+000	1.457747280100981E-004	1.516841959497995E-003	1.3639998E-001	117	7.330600348184817E+001	1.363796766918434E-001	8.993012662147317E-001	0.000000000000000E+000	1.514644795515471E-003
7.731800367240794E+001	2.8024495E+000	1.666632915859421E-003	0.000000000000000E+000	1.519881203439501E-004	1.668830079841945E-003	1.3639998E-001	117	7.731800367240794E+001	1.363801613284266E-001	8.992312552222882E-001	0.000000000000000E+000	1.666632915859421E-003
8.148000387009233E+001	2.8524821E+000	1.824303450592690E-003	0.000000000000000E+000	1.576705347332689E-004	1.826500614575214E-003	1.3639998E-001	117	8.148000387009233E+001	1.363800812300708E-001	8.991586267129625E-001	0.000000000000000E+000	1.824303450592690E-003
8.580200407537632E+001	2.9025543E+000	1.988035191943248E-003	0.000000000000000E+000	1.637317413505581E-004	1.990232355925772E-003	1.3639998E-001	117	8.580200407537632E+001	1.363799724353042E-001	8.990832062019348E-001	0.000000000000000E+000	1.988035191943248E-003
9.029000428854488E+001	2.9525869E+000	2.158054893488685E-003	0.000000000000000E+000	1.700197015454372E-004	2.160252057471209E-003	1.3639998E-001	117	9.029000428854488E+001	1.363794332646538E-001	8.990048892386536E-001	0.000000000000000E+000	2.158054893488685E-003
9.495400451007299E+001	3.0026588E+000	2.334742442816496E-003	0.000000000000000E+000	1.766875493278106E-004	2.336939606799020E-003	1.3639998E-001	117	9.495400451007299E+001	1.363797485780810E-001	8.989235008337383E-001	0.000000000000000E+000	2.334742442816496E-003
9.984000474214554E+001	3.0527701E+000	2.519839825423227E-003	0.000000000000000E+000	1.850973826067315E-004	2.522036989405751E-003	1.3639998E-001	117	9.984000474214554E+001	1.363795631875319E-001	8.988382385683343E-001	0.000000000000000E+000	2.519839825423227E-003
1.049820049863774E+002	3.1028423E+000	2.714635788922508E-003	0.000000000000000E+000	1.947959634992811E-004	2.716832952905032E-003	1.3639998E-001	117	1.049820049863774E+002	1.363798979558715E-001	8.987485088006543E-001	0.000000000000000E+000	2.714635788922508E-003
1.114780052949209E+002	3.1529143E+000	2.960725951815645E-003	0.000000000000000E+000	2.460901628931363E-004	2.962923115798169E-003	1.3639998E-001	117	1.114780052949209E+002	1.363800099039613E-001	8.986351511481235E-001	0.000000000000000E+000	2.960725951815645E-003
1.360760064632632E+002	3.2029469E+000	3.892577588765157E-003	0.000000000000000E+000	9.318516369495127E-004	3.894774752747682E-003	1.3639998E-001	117	1.360760064632632E+002	1.363796135328146E-001	8.982059080088216E-001	0.000000000000000E+000	3.892577588765157E-003
1.473220069974195E+002	3.2530189E+000	4.318612510479158E-003	0.000000000000000E+000	4.260349217140012E-004	4.320809674461683E-003	1.3639998E-001	117	1.473220069974195E+002	1.363796590185262E-001	8.980096615678673E-001	0.000000000000000E+000	4.318612510479158E-003
