time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
4.269536132715438E+005	3.5543730E+000	1.997921864191691E-007	0.000000000000000E+000	1.997921864191691E-007	1.997921864191691E-007	3.5999998E-001	116	4.269536132715438E+005	0.000000000000000E+000	8.999999127282657E-001	0.000000000000000E+000	1.997921864191691E-007
4.269536572715484E+005	3.5594151E+000	4.597299661901262E-006	0.000000000000000E+000	4.397507475482093E-006	4.597299661901262E-006	3.5999998E-001	116	4.269536572715484E+005	3.597960281435281E-001	8.999985166108285E-001	0.000000000000000E+000	4.597299661901262E-006
4.269538212715657E+005	3.5644965E+000	2.098887193534109E-005	0.000000000000000E+000	1.639157227343983E-005	2.098887193534109E-005	3.5999998E-001	116	4.269538212715657E+005	3.598149630900079E-001	8.999933126265257E-001	0.000000000000000E+000	2.098887193534109E-005
4.269540752715925E+005	3.5694993E+000	4.637629103329446E-005	0.000000000000000E+000	2.538741909795337E-005	4.637629103329447E-005	3.5999998E-001	116	4.269540752715925E+005	3.598216501324172E-001	8.999852526473930E-001	0.000000000000000E+000	4.637629103329446E-005
4.269543612716217E+005	3.5745413E+000	7.496181878778669E-005	0.000000000000000E+000	2.858552775449223E-005	7.496181878778669E-005	3.5999998E-001	116	4.269543612716217E+005	3.598177951583104E-001	8.999761773350776E-001	0.000000000000000E+000	7.496181878778669E-005
4.269546832716558E+005	3.5795834E+000	1.071461230350865E-004	0.000000000000000E+000	3.218430424729983E-005	1.071461230350865E-004	3.5999998E-001	116	4.269546832716558E+005	3.598244813696516E-001	8.999659594858496E-001	0.000000000000000E+000	1.071461230350865E-004
4.269550212716907E+005	3.5845861E+000	1.409296621878942E-004	0.000000000000000E+000	3.378353915280766E-005	1.409296621878942E-004	3.5999998E-001	116	4.269550212716907E+005	3.598246401994039E-001	8.999552339127006E-001	0.000000000000000E+000	1.409296621878942E-004
4.269553832717286E+005	3.5895889E+000	1.771113204459349E-004	0.000000000000000E+000	3.618165825804075E-005	1.771113204459349E-004	3.5999998E-001	116	4.269553832717286E+005	3.598175582489018E-001	8.999437469864628E-001	0.000000000000000E+000	1.771113204459349E-004
4.269557612717683E+005	3.5946703E+000	2.148926404284106E-004	0.000000000000000E+000	3.778131998247571E-005	2.148926404284106E-004	3.5999998E-001	116	4.269557612717683E+005	3.598220573686171E-001	8.999317522007980E-001	0.000000000000000E+000	2.148926404284106E-004
4.269561632718099E+005	3.5996730E+000	2.550725829435720E-004	0.000000000000000E+000	4.017994251516130E-005	2.550725829435720E-004	3.5999998E-001	116	4.269561632718099E+005	3.598203434273415E-001	8.999189959022166E-001	0.000000000000000E+000	2.550725829435720E-004
