time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
4.972508486041157E+005	3.8495657E+000	2.258358233504825E-007	0.000000000000000E+000	2.258358233504825E-007	2.258358233504825E-007	4.0679997E-001	116	4.972508486041157E+005	0.000000000000000E+000	8.999999131339959E-001	0.000000000000000E+000	2.258358233504825E-007
4.972508626041170E+005	3.8548436E+000	1.806982076830334E-006	0.000000000000000E+000	1.581146253479852E-006	1.806982076830334E-006	4.0679997E-001	116	4.972508626041170E+005	4.065804255837746E-001	8.999994718825095E-001	0.000000000000000E+000	1.806982076830334E-006
4.972508886041204E+005	3.8599639E+000	4.743646697865592E-006	0.000000000000000E+000	2.936664621035258E-006	4.743646697865592E-006	4.0679997E-001	116	4.972508886041204E+005	4.066150492897036E-001	8.999986523456539E-001	0.000000000000000E+000	4.743646697865592E-006
4.972509306041244E+005	3.8650055E+000	9.487764090299607E-006	0.000000000000000E+000	4.744117392434014E-006	9.487764090299607E-006	4.0679997E-001	116	4.972509306041244E+005	4.066385940347775E-001	8.999973284018088E-001	0.000000000000000E+000	9.487764090299607E-006
4.972509906041306E+005	3.8700864E+000	1.626527948511971E-005	0.000000000000000E+000	6.777515394820107E-006	1.626527948511971E-005	4.0679997E-001	116	4.972509906041306E+005	4.066508822821424E-001	8.999954369962954E-001	0.000000000000000E+000	1.626527948511971E-005
4.972510746041397E+005	3.8752067E+000	2.575388636853960E-005	0.000000000000000E+000	9.488606883419884E-006	2.575388636853960E-005	4.0679997E-001	116	4.972510746041397E+005	4.066545366053693E-001	8.999927890047632E-001	0.000000000000000E+000	2.575388636853960E-005
4.972511886041511E+005	3.8802876E+000	3.863113600346777E-005	0.000000000000000E+000	1.287724963492817E-005	3.863113600346777E-005	4.0679997E-001	116	4.972511886041511E+005	4.066499475627660E-001	8.999891953425525E-001	0.000000000000000E+000	3.863113600346777E-005
4.972513406041672E+005	3.8853292E+000	5.580129118429289E-005	0.000000000000000E+000	1.717015518082513E-005	5.580129118429290E-005	4.0679997E-001	116	4.972513406041672E+005	4.066615270859717E-001	8.999844036564723E-001	0.000000000000000E+000	5.580129118429289E-005
4.972515466041891E+005	3.8903313E+000	7.907174987925423E-005	0.000000000000000E+000	2.327045869496134E-005	7.907174987925423E-005	4.0679997E-001	116	4.972515466041891E+005	4.066681669864861E-001	8.999779095548270E-001	0.000000000000000E+000	7.907174987925423E-005
4.972518466042196E+005	3.8953335E+000	1.129607608417670E-004	0.000000000000000E+000	3.388901096251276E-005	1.129607608417670E-004	4.0679997E-001	116	4.972518466042196E+005	4.066680901413369E-001	8.999684521270758E-001	0.000000000000000E+000	1.129607608417670E-004
